Distrito,Habitantes
Quatre Carreres,76572
Camins al Grau,66245
Patraix,58333
Poblats Marítims,55897
Rascanya,54605
Jesús,52585
l'Olivereta,49584
Extramurs,49335
Benicalap,48706
la Saïdia,47499
l'Eixample,43565
Campanar,39846
Algirós,35819
el Pla del Real,30680
Benimaclet,28763
Ciutat Vella,28317
Pobles del Sud,21517
Pobles de l'Oest,14758
Pobles del Nord,6875
