"Distrito","Habitantes"
"Quatre Carreres","76,572"
"Camins al Grau","66,245"
"Patraix","58,333"
"Poblats Marítims","55,897"
"Rascanya","54,605"
"Jesús","52,585"
"l'Olivereta","49,584"
"Extramurs","49,335"
"Benicalap","48,706"
"la Saïdia","47,499"
"l'Eixample","43,565"
"Campanar","39,846"
"Algirós","35,819"
"el Pla del Real","30,680"
"Benimaclet","28,763"
"Ciutat Vella","28,317"
"Pobles del Sud","21,517"
"Pobles de l'Oest","14,758"
"Pobles del Nord","6,875"
