Nombre Distrito,Renta neta media por persona
Ciutat Vella,20.593
l'Eixample,21.841
Extramurs,18.232
Campanar,16.542
la Saïdia,14.173
el Pla del Real,22.403
l'Olivereta,12.338
Patraix,14.906
Jesús,12.877
Quatre Carreres,13.81
Poblats Marítims,12.958
Camins al Grau,15.067
Algirós,16.56
Benimaclet,16.141
Rascanya,12.489
Benicalap,12.699
Pobles del Nord,15.925
Pobles de l'Oest,11.884
Pobles del Sud,13.08
